id,language,category,slug,route,indexable,score,units,sourceCount,sourceHostCount,sectionCount,faqCount,verifiedAt,staleDays,generated,sourceFile,sourceHosts
google-calendar-guide-en,en,business-software,google-calendar-guide,/en/business-software/google-calendar-guide/,true,75,408,1,1,6,2,2026-07-19,-1,true,content/article-batches/english-translations.json#google-calendar-guide:en,support.google.com
google-chat-guide-en,en,business-software,google-chat-guide,/en/business-software/google-chat-guide/,true,85,422,2,2,6,2,2026-07-19,-1,true,content/article-batches/english-translations.json#google-chat-guide:en,support.google.com|workspace.google.com
google-drive-guide-en,en,business-software,google-drive-guide,/en/business-software/google-drive-guide/,true,85,416,2,2,6,2,2026-07-19,-1,true,content/article-batches/english-translations.json#google-drive-guide:en,support.google.com|one.google.com
google-meet-guide-en,en,business-software,google-meet-guide,/en/business-software/google-meet-guide/,true,85,417,2,2,6,2,2026-07-19,-1,true,content/article-batches/english-translations.json#google-meet-guide:en,support.google.com|workspace.google.com
google-workspace-guide-en,en,business-software,google-workspace-guide,/en/business-software/google-workspace-guide/,true,75,412,1,1,6,2,2026-07-19,-1,true,content/article-batches/english-translations.json#google-workspace-guide:en,workspace.google.com
jira-review-en,en,business-software,jira-review,/en/business-software/jira-review/,false,100,712,2,1,6,3,2026-07-19,-1,true,content/article-batches/bilingual-review-expansion.json#jira-review:en,atlassian.com
jira-vs-airtable-en,en,business-software,jira-vs-airtable,/en/business-software/jira-vs-airtable/,false,100,764,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion-3.json#jira-vs-airtable:en,atlassian.com|airtable.com
jira-vs-asana-en,en,business-software,jira-vs-asana,/en/business-software/jira-vs-asana/,false,100,703,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion.json#jira-vs-asana:en,atlassian.com|asana.com
jira-vs-clickup-en,en,business-software,jira-vs-clickup,/en/business-software/jira-vs-clickup/,false,100,716,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion.json#jira-vs-clickup:en,atlassian.com|clickup.com
jira-vs-monday-en,en,business-software,jira-vs-monday,/en/business-software/jira-vs-monday/,false,100,722,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion-2.json#jira-vs-monday:en,atlassian.com|monday.com
jira-vs-trello-en,en,business-software,jira-vs-trello,/en/business-software/jira-vs-trello/,false,100,705,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion-2.json#jira-vs-trello:en,atlassian.com|trello.com
jira-vs-wrike-en,en,business-software,jira-vs-wrike,/en/business-software/jira-vs-wrike/,false,100,746,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion-3.json#jira-vs-wrike:en,atlassian.com|wrike.com
microsoft-teams-review-en,en,business-software,microsoft-teams-review,/en/business-software/microsoft-teams-review/,false,100,716,2,1,6,3,2026-07-19,-1,true,content/article-batches/bilingual-review-expansion.json#microsoft-teams-review:en,microsoft.com
monday-alternatives-en,en,business-software,monday-alternatives,/en/business-software/monday-alternatives/,true,100,907,8,4,6,3,2026-07-19,-1,true,content/article-batches/bilingual-affiliate-intents.json#monday-alternatives:en,monday.com|clickup.com|asana.com|wrike.com
monday-for-small-business-en,en,business-software,monday-for-small-business,/en/business-software/monday-for-small-business/,true,100,854,6,3,6,3,2026-07-19,-1,true,content/article-batches/bilingual-affiliate-intents.json#monday-for-small-business:en,monday.com|clickup.com|asana.com
monday-pricing-guide-en,en,business-software,monday-pricing-guide,/en/business-software/monday-pricing-guide/,true,100,818,2,1,6,3,2026-07-19,-1,true,content/article-batches/bilingual-affiliate-intents.json#monday-pricing-guide:en,monday.com
monday-vs-notion-en,en,business-software,monday-vs-notion,/en/business-software/monday-vs-notion/,false,100,708,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion-3.json#monday-vs-notion:en,monday.com|notion.com
monday-vs-trello-en,en,business-software,monday-vs-trello,/en/business-software/monday-vs-trello/,false,100,677,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion-3.json#monday-vs-trello:en,monday.com|trello.com
notion-vs-asana-en,en,business-software,notion-vs-asana,/en/business-software/notion-vs-asana/,false,85,448,4,2,6,2,2026-07-19,-1,true,content/article-batches/english-translations.json#notion-vs-asana:en,notion.com|asana.com
notion-vs-basecamp-en,en,business-software,notion-vs-basecamp,/en/business-software/notion-vs-basecamp/,false,100,738,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion-3.json#notion-vs-basecamp:en,notion.com|basecamp.com
notion-vs-clickup-en,en,business-software,notion-vs-clickup,/en/business-software/notion-vs-clickup/,false,100,643,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparisons.json#notion-vs-clickup:en,notion.com|clickup.com
notion-vs-jira-en,en,business-software,notion-vs-jira,/en/business-software/notion-vs-jira/,false,100,730,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion-3.json#notion-vs-jira:en,notion.com|atlassian.com
notion-vs-todoist-en,en,business-software,notion-vs-todoist,/en/business-software/notion-vs-todoist/,false,100,758,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion-3.json#notion-vs-todoist:en,notion.com|todoist.com
notion-vs-trello-en,en,business-software,notion-vs-trello,/en/business-software/notion-vs-trello/,false,100,679,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion.json#notion-vs-trello:en,notion.com|trello.com
notion-vs-wrike-en,en,business-software,notion-vs-wrike,/en/business-software/notion-vs-wrike/,false,100,727,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion-3.json#notion-vs-wrike:en,notion.com|wrike.com
slack-guide-en,en,business-software,slack-guide,/en/business-software/slack-guide/,true,75,382,1,1,6,2,2026-07-19,-1,true,content/article-batches/english-translations.json#slack-guide:en,slack.com
slack-review-en,en,business-software,slack-review,/en/business-software/slack-review/,false,100,688,2,1,6,3,2026-07-19,-1,true,content/article-batches/bilingual-review-expansion.json#slack-review:en,slack.com
slack-vs-google-chat-en,en,business-software,slack-vs-google-chat,/en/business-software/slack-vs-google-chat/,true,85,456,2,2,6,2,2026-07-19,-1,true,content/article-batches/english-translations.json#slack-vs-google-chat:en,slack.com|workspace.google.com
slack-vs-microsoft-teams-en,en,business-software,slack-vs-microsoft-teams,/en/business-software/slack-vs-microsoft-teams/,false,100,658,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparisons.json#slack-vs-microsoft-teams:en,slack.com|microsoft.com
task-management-tools-comparison-en,en,business-software,task-management-tools-comparison,/en/business-software/task-management-tools-comparison/,true,85,443,4,4,6,2,2026-07-19,-1,true,content/article-batches/english-translations.json#task-management-tools-comparison:en,asana.com|trello.com|notion.com|backlog.com
todoist-review-en,en,business-software,todoist-review,/en/business-software/todoist-review/,false,100,750,2,1,6,3,2026-07-19,-1,true,content/article-batches/bilingual-review-expansion.json#todoist-review:en,todoist.com
todoist-vs-asana-en,en,business-software,todoist-vs-asana,/en/business-software/todoist-vs-asana/,false,100,750,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion-2.json#todoist-vs-asana:en,todoist.com|asana.com
todoist-vs-basecamp-en,en,business-software,todoist-vs-basecamp,/en/business-software/todoist-vs-basecamp/,false,100,784,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion-3.json#todoist-vs-basecamp:en,todoist.com|basecamp.com
todoist-vs-trello-en,en,business-software,todoist-vs-trello,/en/business-software/todoist-vs-trello/,false,100,730,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion.json#todoist-vs-trello:en,todoist.com|trello.com
trello-vs-airtable-en,en,business-software,trello-vs-airtable,/en/business-software/trello-vs-airtable/,false,100,738,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion-3.json#trello-vs-airtable:en,trello.com|airtable.com
trello-vs-asana-en,en,business-software,trello-vs-asana,/en/business-software/trello-vs-asana/,false,100,631,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparisons.json#trello-vs-asana:en,trello.com|asana.com
trello-vs-wrike-en,en,business-software,trello-vs-wrike,/en/business-software/trello-vs-wrike/,false,100,716,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion-3.json#trello-vs-wrike:en,trello.com|wrike.com
wrike-review-en,en,business-software,wrike-review,/en/business-software/wrike-review/,false,100,729,2,1,6,3,2026-07-19,-1,true,content/article-batches/bilingual-review-expansion.json#wrike-review:en,wrike.com
wrike-vs-airtable-en,en,business-software,wrike-vs-airtable,/en/business-software/wrike-vs-airtable/,false,100,774,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion-3.json#wrike-vs-airtable:en,wrike.com|airtable.com
wrike-vs-asana-en,en,business-software,wrike-vs-asana,/en/business-software/wrike-vs-asana/,false,100,709,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion.json#wrike-vs-asana:en,wrike.com|asana.com
wrike-vs-basecamp-en,en,business-software,wrike-vs-basecamp,/en/business-software/wrike-vs-basecamp/,false,100,762,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion-3.json#wrike-vs-basecamp:en,wrike.com|basecamp.com
wrike-vs-clickup-en,en,business-software,wrike-vs-clickup,/en/business-software/wrike-vs-clickup/,false,100,724,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion-2.json#wrike-vs-clickup:en,wrike.com|clickup.com
wrike-vs-monday-en,en,business-software,wrike-vs-monday,/en/business-software/wrike-vs-monday/,false,100,722,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion-2.json#wrike-vs-monday:en,wrike.com|monday.com
zoom-review-en,en,business-software,zoom-review,/en/business-software/zoom-review/,false,100,759,2,1,6,3,2026-07-19,-1,true,content/article-batches/bilingual-review-expansion.json#zoom-review:en,zoom.com
zoom-vs-microsoft-teams-en,en,business-software,zoom-vs-microsoft-teams,/en/business-software/zoom-vs-microsoft-teams/,false,100,792,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion.json#zoom-vs-microsoft-teams:en,zoom.com|microsoft.com
1password-vs-bitwarden-en,en,hosting-security,1password-vs-bitwarden,/en/hosting-security/1password-vs-bitwarden/,false,100,667,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparisons.json#1password-vs-bitwarden:en,1password.com|bitwarden.com
1password-vs-keeper-en,en,hosting-security,1password-vs-keeper,/en/hosting-security/1password-vs-keeper/,false,100,741,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion.json#1password-vs-keeper:en,1password.com|keepersecurity.com
1password-vs-nordpass-en,en,hosting-security,1password-vs-nordpass,/en/hosting-security/1password-vs-nordpass/,false,100,718,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion.json#1password-vs-nordpass:en,1password.com|nordpass.com
ablenet-rental-server-review-en,en,hosting-security,ablenet-rental-server-review,/en/hosting-security/ablenet-rental-server-review/,true,75,413,1,1,6,2,2026-07-19,-1,true,content/article-batches/legacy-migrations.json#ablenet-rental-server-review:en,ablenet.jp
ablenet-vps-review-en,en,hosting-security,ablenet-vps-review,/en/hosting-security/ablenet-vps-review/,true,75,424,1,1,6,2,2026-07-19,-1,true,content/article-batches/legacy-migrations.json#ablenet-vps-review:en,ablenet.jp
bitwarden-vs-keeper-en,en,hosting-security,bitwarden-vs-keeper,/en/hosting-security/bitwarden-vs-keeper/,false,100,723,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion.json#bitwarden-vs-keeper:en,bitwarden.com|keepersecurity.com
bitwarden-vs-nordpass-en,en,hosting-security,bitwarden-vs-nordpass,/en/hosting-security/bitwarden-vs-nordpass/,false,100,685,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion.json#bitwarden-vs-nordpass:en,bitwarden.com|nordpass.com
business-web-hosting-comparison-en,en,hosting-security,business-web-hosting-comparison,/en/hosting-security/business-web-hosting-comparison/,true,100,613,10,3,6,3,2026-07-19,-1,false,content/articles/en/business-web-hosting-comparison.json,cpi.ad.jp|business.xserver.ne.jp|conoha.jp
cloudways-guide-en,en,hosting-security,cloudways-guide,/en/hosting-security/cloudways-guide/,true,75,401,1,1,6,2,2026-07-19,-1,true,content/article-batches/english-translations.json#cloudways-guide:en,cloudways.com
cloudways-vs-kinsta-en,en,hosting-security,cloudways-vs-kinsta,/en/hosting-security/cloudways-vs-kinsta/,false,100,656,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparisons.json#cloudways-vs-kinsta:en,cloudways.com|kinsta.com
cloudways-vs-wp-engine-en,en,hosting-security,cloudways-vs-wp-engine,/en/hosting-security/cloudways-vs-wp-engine/,false,100,754,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion.json#cloudways-vs-wp-engine:en,cloudways.com|wpengine.com
colorfulbox-review-en,en,hosting-security,colorfulbox-review,/en/hosting-security/colorfulbox-review/,true,75,382,1,1,6,2,2026-07-19,-1,true,content/article-batches/legacy-migrations.json#colorfulbox-review:en,colorfulbox.jp
com-vs-jp-domain-en,en,hosting-security,com-vs-jp-domain,/en/hosting-security/com-vs-jp-domain/,true,75,468,1,1,6,2,2026-07-19,-1,true,content/article-batches/english-translations.json#com-vs-jp-domain:en,jprs.jp
conoha-wing-review-en,en,hosting-security,conoha-wing-review,/en/hosting-security/conoha-wing-review/,true,75,395,1,1,6,2,2026-07-19,-1,true,content/article-batches/legacy-migrations.json#conoha-wing-review:en,conoha.jp
cpi-rental-server-review-en,en,hosting-security,cpi-rental-server-review,/en/hosting-security/cpi-rental-server-review/,true,100,660,6,1,6,4,2026-07-19,-1,false,content/articles/en/cpi-rental-server-review.json,cpi.ad.jp
cpi-vs-xserver-business-en,en,hosting-security,cpi-vs-xserver-business,/en/hosting-security/cpi-vs-xserver-business/,true,100,610,9,2,6,3,2026-07-19,-1,false,content/articles/en/cpi-vs-xserver-business.json,cpi.ad.jp|business.xserver.ne.jp
domain-registrar-comparison-en,en,hosting-security,domain-registrar-comparison,/en/hosting-security/domain-registrar-comparison/,true,85,467,3,3,6,2,2026-07-19,-1,true,content/article-batches/english-translations.json#domain-registrar-comparison:en,jprs.jp|cloudflare.com|namecheap.com
hostinger-alternatives-en,en,hosting-security,hostinger-alternatives,/en/hosting-security/hostinger-alternatives/,true,100,888,8,4,6,3,2026-07-19,-1,true,content/article-batches/bilingual-affiliate-intents.json#hostinger-alternatives:en,hostinger.com|siteground.com|cloudways.com|kinsta.com
hostinger-for-small-business-en,en,hosting-security,hostinger-for-small-business,/en/hosting-security/hostinger-for-small-business/,true,100,871,6,3,6,3,2026-07-19,-1,true,content/article-batches/bilingual-affiliate-intents.json#hostinger-for-small-business:en,hostinger.com|siteground.com|cloudways.com
hostinger-pricing-guide-en,en,hosting-security,hostinger-pricing-guide,/en/hosting-security/hostinger-pricing-guide/,true,100,821,2,1,6,3,2026-07-19,-1,true,content/article-batches/bilingual-affiliate-intents.json#hostinger-pricing-guide:en,hostinger.com
hostinger-vs-ablenet-vps-en,en,hosting-security,hostinger-vs-ablenet-vps,/en/hosting-security/hostinger-vs-ablenet-vps/,true,85,474,2,2,6,2,2026-07-19,-1,true,content/article-batches/legacy-migrations.json#hostinger-vs-ablenet-vps:en,hostinger.com|ablenet.jp
hostinger-vs-cloudways-en,en,hosting-security,hostinger-vs-cloudways,/en/hosting-security/hostinger-vs-cloudways/,false,85,450,3,2,6,2,2026-07-19,-1,true,content/article-batches/english-translations.json#hostinger-vs-cloudways:en,hostinger.com|cloudways.com
hostinger-vs-kinsta-en,en,hosting-security,hostinger-vs-kinsta,/en/hosting-security/hostinger-vs-kinsta/,true,100,704,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion.json#hostinger-vs-kinsta:en,hostinger.com|kinsta.com
hostinger-vs-lolipop-en,en,hosting-security,hostinger-vs-lolipop,/en/hosting-security/hostinger-vs-lolipop/,true,85,426,2,2,6,2,2026-07-19,-1,true,content/article-batches/legacy-migrations.json#hostinger-vs-lolipop:en,hostinger.com|lolipop.jp
hostinger-vs-siteground-en,en,hosting-security,hostinger-vs-siteground,/en/hosting-security/hostinger-vs-siteground/,false,100,652,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparisons.json#hostinger-vs-siteground:en,hostinger.com|siteground.com
hostinger-vs-wp-engine-en,en,hosting-security,hostinger-vs-wp-engine,/en/hosting-security/hostinger-vs-wp-engine/,true,100,770,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion-2.json#hostinger-vs-wp-engine:en,hostinger.com|wpengine.com
