article_id,language,type,category,priority,configured_placements,total_placements,affiliate_keys,url,title
beauty-salon-website-builder-comparison-ja,ja,comparison,website-builders,78,4,4,goope-reservation|goope-beauty|goope,/ja/website-builders/beauty-salon-website-builder-comparison/,"美容サロン向けホームページ作成サービス比較｜予約・メニュー・写真で選ぶ"
air-regi-vs-square-pos-ja,ja,comparison,cashless-payments,78,3,3,emeao-pos-free|air-regi-official|square-pos-official,/ja/cashless-payments/air-regi-vs-square-pos/,"AirレジとSquare POSレジを比較｜無料POSはどちらを選ぶ？"
jimdo-ai-builder-vs-creator-ja,ja,comparison,website-builders,78,3,3,jimdo-easy|jimdo-software,/ja/website-builders/jimdo-ai-builder-vs-creator/,"Jimdo AIビルダーとクリエイターの違い｜選び方を比較"
jimdo-vs-studio-ja,ja,comparison,website-builders,78,3,3,jimdo-easy|jimdo-short|jimdo-software,/ja/website-builders/jimdo-vs-studio/,"JimdoとStudioを比較｜簡単作成とデザイン自由度の違い"
jimdo-vs-wix-ja,ja,comparison,website-builders,78,3,3,jimdo-easy|jimdo-software,/ja/website-builders/jimdo-vs-wix/,"JimdoとWixを比較｜初心者・店舗サイトに向くのはどちら？"
shin-rental-server-vs-xserver-ja,ja,comparison,hosting-security,78,3,3,shin-server-long|xserver-main,/ja/hosting-security/shin-rental-server-vs-xserver/,"シンレンタルサーバーとエックスサーバーを比較｜違いと選び方"
reservation-website-builder-comparison-ja,ja,comparison,website-builders,78,3,3,goope-reservation|goope,/ja/website-builders/reservation-website-builder-comparison/,"予約機能付きホームページ作成サービス比較｜店舗・教室・サロン向け"
best-website-builders-for-beginners-ja,ja,comparison,website-builders,78,3,3,jimdo-easy|jimdo-software,/ja/website-builders/best-website-builders-for-beginners/,"初心者向けホームページ作成サービス比較｜5サービスの選び方"
fixed-fee-ecommerce-platform-comparison-ja,ja,comparison,website-builders,78,3,3,xserver-shop-fee|xserver-shop-cost,/ja/website-builders/fixed-fee-ecommerce-platform-comparison/,"販売手数料0円・月額固定型のネットショップ作成サービス比較"
cpanel-hosting-comparison-ja,ja,comparison,hosting-security,78,2,2,jetboy,/ja/hosting-security/cpanel-hosting-comparison/,"cPanel対応レンタルサーバー比較【2026年】"
iclusta-vs-cpi-ja,ja,comparison,hosting-security,78,2,2,iclusta-corporate,/ja/hosting-security/iclusta-vs-cpi/,"iCLUSTA+とCPIを比較｜法人サーバーの違い【2026年】"
iclusta-vs-xserver-for-wordpress-ja,ja,comparison,hosting-security,78,2,2,iclusta-corporate,/ja/hosting-security/iclusta-vs-xserver-for-wordpress/,"iCLUSTA+とXServer for WordPressを比較【2026年】"
jetboy-vs-hostinger-ja,ja,comparison,hosting-security,78,2,2,jetboy-rental,/ja/hosting-security/jetboy-vs-hostinger/,"JETBOYとHostingerを比較｜国内・海外サーバー【2026年】"
jetboy-vs-xserver-for-wordpress-ja,ja,comparison,hosting-security,78,2,2,jetboy-wp-highspec,/ja/hosting-security/jetboy-vs-xserver-for-wordpress/,"JETBOYとXServer for WordPressを比較【2026年】"
jimdo-vs-wordpress-ja,ja,comparison,website-builders,78,2,2,jimdo-software,/ja/website-builders/jimdo-vs-wordpress/,"JimdoとWordPressを比較｜簡単運用と拡張性の違い"
litespeed-hosting-comparison-ja,ja,comparison,hosting-security,78,2,2,jetboy-wp-tuned,/ja/hosting-security/litespeed-hosting-comparison/,"LiteSpeed対応レンタルサーバー比較【2026年】"
restaurant-pos-vs-mobile-order-ja,ja,comparison,store-dx,78,2,2,kantan-chumon-short,/ja/store-dx/restaurant-pos-vs-mobile-order/,"POSレジとモバイルオーダーの違い｜飲食店はどちらから導入すべき？"
best-wordpress-hosting-japan-ja,ja,comparison,hosting-security,78,2,2,shin-server-long|shin-server-evolve,/ja/hosting-security/best-wordpress-hosting-japan/,"WordPress向け国内レンタルサーバー比較｜5社の選び方【2026年】"
ochanoko-saisai-basic-vs-advanced-ja,ja,comparison,website-builders,78,2,2,ochanoko-saisai-service,/ja/website-builders/ochanoko-saisai-basic-vs-advanced/,"おちゃのこさいさい ベーシックとアドバンスドの違いを比較"
ochanoko-saisai-vs-jimdo-ja,ja,comparison,website-builders,78,2,2,ochanoko-saisai-short,/ja/website-builders/ochanoko-saisai-vs-jimdo/,"おちゃのこさいさいとJimdoを比較｜店舗機能と作成の簡単さ"
ochanoko-saisai-vs-studio-ja,ja,comparison,website-builders,78,2,2,ochanoko-saisai-service,/ja/website-builders/ochanoko-saisai-vs-studio/,"おちゃのこさいさいとStudioを比較｜店舗運用とデザイン自由度"
ochanoko-saisai-vs-goope-ja,ja,comparison,website-builders,78,2,2,ochanoko-saisai-coupon,/ja/website-builders/ochanoko-saisai-vs-goope/,"おちゃのこさいさいとグーペを比較｜店舗ホームページの選び方"
shin-rental-server-vs-conoha-wing-ja,ja,comparison,hosting-security,78,2,2,shin-server-evolve|shin-server-long,/ja/hosting-security/shin-rental-server-vs-conoha-wing/,"シンレンタルサーバーとConoHa WINGを比較｜料金・契約の違い"
shin-rental-server-vs-mixhost-ja,ja,comparison,hosting-security,78,2,2,shin-server-short,/ja/hosting-security/shin-rental-server-vs-mixhost/,"シンレンタルサーバーとmixhostを比較｜更新料金・機能の違い"
shin-rental-server-vs-lolipop-ja,ja,comparison,hosting-security,78,2,2,shin-server-newgen,/ja/hosting-security/shin-rental-server-vs-lolipop/,"シンレンタルサーバーとロリポップ！を比較｜初心者向けの選び方"
best-japanese-web-hosting-ja,ja,comparison,hosting-security,78,2,2,shin-server-newgen,/ja/hosting-security/best-japanese-web-hosting/,"国内レンタルサーバーおすすめ比較｜用途別に選ぶ基準【2026年】"
business-hosting-sla-comparison-ja,ja,comparison,hosting-security,78,2,2,iclusta-sla,/ja/hosting-security/business-hosting-sla-comparison/,"法人向けSLA付きレンタルサーバー比較【2026年】"
color-me-shop-review-ja,ja,review,website-builders,75,2,2,color-me-shop-review|color-me-shop-trial,/ja/website-builders/color-me-shop-review/,"カラーミーショップレビュー｜料金・機能・SEOの注意点【2026年】"
airpay-review-en,en,review,cashless-payments,75,1,1,airpay-official-en,/en/cashless-payments/airpay-review/,"AirPAY Review: Fees, Settlement, Payment Methods, and Caveats"
air-regi-review-en,en,review,cashless-payments,75,1,1,air-regi-official-en,/en/cashless-payments/air-regi-review/,"AirREGI Review: Free POS Features, Costs, and Limitations"
airpay-review-ja,ja,review,cashless-payments,75,1,1,airpay-official,/ja/cashless-payments/airpay-review/,"Airペイの手数料・入金・対応決済を検証｜店舗導入の注意点"
air-regi-review-ja,ja,review,cashless-payments,75,1,1,air-regi-official,/ja/cashless-payments/air-regi-review/,"Airレジの評判・料金・機能｜無料POSの注意点を公式情報で検証"
color-me-shop-review-en,en,review,website-builders,75,1,1,color-me-shop-official,/en/website-builders/color-me-shop-review/,"Color Me Shop Review: Pricing, Features, and SEO Limits"
color-me-shop-seo-guide-en,en,review,website-builders,75,1,1,color-me-shop-official,/en/website-builders/color-me-shop-seo-guide/,"Color Me Shop SEO Guide: Categories, Products, and Sitemaps"
cpi-rental-server-review-ja,ja,review,hosting-security,75,1,1,cpi,/ja/hosting-security/cpi-rental-server-review/,"CPIレンタルサーバーレビュー｜法人向け機能・料金・注意点"
emeao-pos-review-en,en,review,store-dx,75,1,1,emeao-pos-official,/en/store-dx/emeao-pos-review/,"EMEAO! POS Vendor Matching Review: Process, Benefits, and Caveats"
iclusta-review-en,en,review,hosting-security,75,1,1,iclusta-official,/en/hosting-security/iclusta-review/,"iCLUSTA+ byGMO Review: Business Hosting Features and Caveats"
jetboy-review-en,en,review,hosting-security,75,1,1,jetboy-official,/en/hosting-security/jetboy-review/,"JETBOY Review: Pricing, LiteSpeed and Limits (2026)"
jimdo-review-en,en,review,website-builders,75,1,1,jimdo-official,/en/website-builders/jimdo-review/,"Jimdo Review: Pricing, AI Builder, Creator, and Limits"
kantan-chumon-review-en,en,review,store-dx,75,1,1,kantan-chumon-official,/en/store-dx/kantan-chumon-review/,"Kantan Chumon Review: Mobile Ordering, Restaurant POS Features, and Caveats"
ochanoko-saisai-review-en,en,review,website-builders,75,1,1,ochanoko-saisai-official,/en/website-builders/ochanoko-saisai-review/,"Ochanoko Saisai Review: Pricing, Store Features, and Limits"
paycas-mobile-review-en,en,review,cashless-payments,75,1,1,paycas-mobile-official-en,/en/cashless-payments/paycas-mobile-review/,"PayCAS Mobile Review: Features, Pricing, and Operational Caveats"
paycas-mobile-review-ja,ja,review,cashless-payments,75,1,1,paycas-mobile-official,/ja/cashless-payments/paycas-mobile-review/,"PayCAS Mobileの料金・機能・注意点｜持ち運べる決済端末を検証"
shin-rental-server-pros-cons-en,en,review,hosting-security,75,1,1,shin-server-official,/en/hosting-security/shin-rental-server-pros-cons/,"Shin Rental Server Pros and Cons: Checks Before You Contract"
shin-rental-server-review-en,en,review,hosting-security,75,1,1,shin-server-official,/en/hosting-security/shin-rental-server-review/,"Shin Rental Server Review: Pricing, Performance, and Limits (2026)"
square-pos-review-en,en,review,cashless-payments,75,1,1,square-pos-official-en,/en/cashless-payments/square-pos-review/,"Square POS Review: Pricing, Hardware, Features, and Limits"
square-pos-review-ja,ja,review,cashless-payments,75,1,1,square-pos-official,/ja/cashless-payments/square-pos-review/,"Square POSレジの料金・機能・端末を検証｜無料範囲と注意点"
xserver-business-review-en,en,review,hosting-security,75,1,1,xserver-business-official,/en/hosting-security/xserver-business-review/,"XServer Business Review: Shared, Virtual, and Physical Managed Servers"
xserver-rental-server-review-en,en,review,hosting-security,75,1,1,xserver-official,/en/hosting-security/xserver-rental-server-review/,"XServer Review: Pricing, Features, and Contract Limits (2026)"
xserver-business-review-ja,ja,review,hosting-security,75,1,1,xserver-business-main,/ja/hosting-security/xserver-business-review/,"XServerビジネスレビュー｜共有・仮想・物理専用サーバーの選び方"
xserver-rental-server-review-ja,ja,review,hosting-security,75,1,1,xserver-main,/ja/hosting-security/xserver-rental-server-review/,"エックスサーバーレビュー｜料金・機能・注意点【2026年】"
color-me-shop-seo-guide-ja,ja,review,website-builders,75,1,1,color-me-shop-seo-guide,/ja/website-builders/color-me-shop-seo-guide/,"カラーミーショップSEO設定ガイド｜カテゴリ・商品・サイトマップ"
restaurant-pos-three-way-comparison-en,en,comparison,store-dx,70,3,3,funfo-official|kantan-chumon-official|emeao-pos-official,/en/store-dx/restaurant-pos-three-way-comparison/,"funfo vs Kantan Chumon vs EMEAO!: Three Ways to Source a Restaurant POS"
business-web-hosting-comparison-ja,ja,comparison,hosting-security,70,3,4,cpi|xserver-wp|xserver-business-main|conoha-wing-business-official,/ja/hosting-security/business-web-hosting-comparison/,"法人向けサーバー4社比較｜CPI・XServer・XServer for WordPress・ConoHa"
airpay-vs-square-en,en,comparison,cashless-payments,70,2,2,airpay-official-en|square-pos-official-en,/en/cashless-payments/airpay-vs-square/,"AirPAY vs Square: Fees, Hardware, Settlement, and POS Fit"
air-regi-vs-square-pos-en,en,comparison,cashless-payments,70,2,2,air-regi-official-en|square-pos-official-en,/en/cashless-payments/air-regi-vs-square-pos/,"AirREGI vs Square POS: Which Free POS Fits Your Store?"
airpay-vs-square-ja,ja,comparison,cashless-payments,70,2,2,airpay-official|square-pos-official,/ja/cashless-payments/airpay-vs-square/,"AirペイとSquareを比較｜手数料・端末・入金で選ぶなら？"
square-vs-paycas-mobile-en,en,comparison,cashless-payments,70,2,2,square-pos-official-en|paycas-mobile-official-en,/en/cashless-payments/square-vs-paycas-mobile/,"Square vs PayCAS Mobile: Transparent Pricing or All-in-One Mobility"
square-vs-paycas-mobile-ja,ja,comparison,cashless-payments,70,2,2,square-pos-official|paycas-mobile-official,/ja/cashless-payments/square-vs-paycas-mobile/,"SquareとPayCAS Mobileを比較｜小型端末かSIM・プリンター内蔵か"
xserver-for-wordpress-vs-cpi-ja,ja,comparison,hosting-security,70,2,2,xserver-wp-long|cpi,/ja/hosting-security/xserver-for-wordpress-vs-cpi/,"XServer for WordPressとCPIを比較｜法人サイトにはどっち？"
xserver-for-wordpress-vs-xserver-business-ja,ja,comparison,hosting-security,70,2,2,xserver-wp-setup|xserver-business-main,/ja/hosting-security/xserver-for-wordpress-vs-xserver-business/,"XServer for WordPressとXServerビジネスを比較｜法人向けの違い"
best-japanese-web-hosting-en,en,comparison,hosting-security,70,1,1,shin-server-official,/en/hosting-security/best-japanese-web-hosting/,"Best Japanese Web Hosting: Selection by Use Case (2026)"
best-website-builders-for-beginners-en,en,comparison,website-builders,70,1,1,jimdo-official,/en/website-builders/best-website-builders-for-beginners/,"Best Website Builders for Beginners: Five Options Compared"
best-wordpress-hosting-japan-en,en,comparison,hosting-security,70,1,1,shin-server-official,/en/hosting-security/best-wordpress-hosting-japan/,"Best WordPress Hosting in Japan: Five Services Compared (2026)"
business-web-hosting-comparison-en,en,comparison,hosting-security,70,1,4,xserver-business-official|cpi-official|xserver-wp-official|conoha-wing-business-official,/en/hosting-security/business-web-hosting-comparison/,"Business Hosting in Japan: CPI, XServer, XServer for WordPress and ConoHa"
business-hosting-sla-comparison-en,en,comparison,hosting-security,70,1,1,iclusta-official,/en/hosting-security/business-hosting-sla-comparison/,"Business Web Hosting SLA Comparison"
color-me-shop-vs-shopify-en,en,comparison,website-builders,70,1,1,color-me-shop-official,/en/website-builders/color-me-shop-vs-shopify/,"Color Me Shop vs Shopify: Cost, SEO, and Operations"
color-me-shop-vs-xserver-shop-en,en,comparison,website-builders,70,1,1,color-me-shop-official,/en/website-builders/color-me-shop-vs-xserver-shop/,"Color Me Shop vs XServer Shop: SaaS vs Managed EC-CUBE"
cpanel-hosting-comparison-en,en,comparison,hosting-security,70,1,1,jetboy-official,/en/hosting-security/cpanel-hosting-comparison/,"cPanel Hosting Comparison and Selection Guide (2026)"
iclusta-vs-cpi-en,en,comparison,hosting-security,70,1,1,iclusta-official,/en/hosting-security/iclusta-vs-cpi/,"iCLUSTA+ vs CPI: Business Hosting Comparison"
iclusta-vs-xserver-for-wordpress-en,en,comparison,hosting-security,70,1,1,iclusta-official,/en/hosting-security/iclusta-vs-xserver-for-wordpress/,"iCLUSTA+ vs XServer for WordPress"
japanese-ecommerce-platform-seo-comparison-en,en,comparison,website-builders,70,1,1,color-me-shop-official,/en/website-builders/japanese-ecommerce-platform-seo-comparison/,"Japanese Ecommerce Platform SEO Comparison: 10 Checks"
jetboy-vs-hostinger-en,en,comparison,hosting-security,70,1,1,jetboy-official,/en/hosting-security/jetboy-vs-hostinger/,"JETBOY vs Hostinger: Japan and Global Hosting (2026)"
jetboy-vs-xserver-for-wordpress-en,en,comparison,hosting-security,70,1,1,jetboy-official,/en/hosting-security/jetboy-vs-xserver-for-wordpress/,"JETBOY vs XServer for WordPress (2026)"
jimdo-ai-builder-vs-creator-en,en,comparison,website-builders,70,1,1,jimdo-official,/en/website-builders/jimdo-ai-builder-vs-creator/,"Jimdo AI Builder vs Creator: Key Differences and Selection"
jimdo-vs-studio-en,en,comparison,website-builders,70,1,1,jimdo-official,/en/website-builders/jimdo-vs-studio/,"Jimdo vs Studio: Guided Setup or Design Flexibility?"
jimdo-vs-wix-en,en,comparison,website-builders,70,1,1,jimdo-official,/en/website-builders/jimdo-vs-wix/,"Jimdo vs Wix: Which Builder Fits Beginners and Local Sites?"
jimdo-vs-wordpress-en,en,comparison,website-builders,70,1,1,jimdo-official,/en/website-builders/jimdo-vs-wordpress/,"Jimdo vs WordPress: Managed Simplicity or Extensibility?"
litespeed-hosting-comparison-en,en,comparison,hosting-security,70,1,1,jetboy-official,/en/hosting-security/litespeed-hosting-comparison/,"LiteSpeed Hosting Comparison and Selection Guide (2026)"
ochanoko-saisai-basic-vs-advanced-en,en,comparison,website-builders,70,1,1,ochanoko-saisai-official,/en/website-builders/ochanoko-saisai-basic-vs-advanced/,"Ochanoko Saisai Basic vs Advanced: Plan Differences"
ochanoko-saisai-vs-goope-en,en,comparison,website-builders,70,1,1,ochanoko-saisai-official,/en/website-builders/ochanoko-saisai-vs-goope/,"Ochanoko Saisai vs Goope: Choosing a Local-Business Builder"
ochanoko-saisai-vs-jimdo-en,en,comparison,website-builders,70,1,1,ochanoko-saisai-official,/en/website-builders/ochanoko-saisai-vs-jimdo/,"Ochanoko Saisai vs Jimdo: Store Features and Ease of Use"
ochanoko-saisai-vs-studio-en,en,comparison,website-builders,70,1,1,ochanoko-saisai-official,/en/website-builders/ochanoko-saisai-vs-studio/,"Ochanoko Saisai vs Studio: Store Operations or Design Control"
restaurant-pos-vs-mobile-order-en,en,comparison,store-dx,70,1,1,kantan-chumon-official,/en/store-dx/restaurant-pos-vs-mobile-order/,"Restaurant POS vs Mobile Ordering: Which Should Be Implemented First?"
semrush-vs-se-ranking-en,en,comparison,seo-marketing,70,1,2,se-ranking-en-pricing|semrush,/en/seo-marketing/semrush-vs-se-ranking/,"Semrush vs SE Ranking: SEO, Rank Tracking, and Agency Workflows Compared"
semrush-vs-se-ranking-ja,ja,comparison,seo-marketing,70,1,2,se-ranking-ja-pricing|semrush,/ja/seo-marketing/semrush-vs-se-ranking/,"SemrushとSE Rankingを比較｜SEO・順位計測・代理店運用の違い"
shin-rental-server-vs-conoha-wing-en,en,comparison,hosting-security,70,1,1,shin-server-official,/en/hosting-security/shin-rental-server-vs-conoha-wing/,"Shin Rental Server vs ConoHa WING: Pricing and Contract Differences"
shin-rental-server-vs-lolipop-en,en,comparison,hosting-security,70,1,1,shin-server-official,/en/hosting-security/shin-rental-server-vs-lolipop/,"Shin Rental Server vs Lolipop: A Beginner-Focused Comparison"
shin-rental-server-vs-mixhost-en,en,comparison,hosting-security,70,1,1,shin-server-official,/en/hosting-security/shin-rental-server-vs-mixhost/,"Shin Rental Server vs mixhost: Renewal Cost and Feature Differences"
shin-rental-server-vs-xserver-en,en,comparison,hosting-security,70,1,1,shin-server-official,/en/hosting-security/shin-rental-server-vs-xserver/,"Shin Rental Server vs XServer: Differences and Selection Guide"
store-dx-stack-comparison-en,en,comparison,store-dx,70,1,1,luqevora-store-dx-diagnosis-en,/en/store-dx/store-dx-stack-comparison/,"Store DX Stack Comparison: Combining POS, Payments, Booking, LINE, and Accounting"
xserver-for-wordpress-vs-xserver-business-en,en,comparison,hosting-security,70,1,2,xserver-business-official|xserver-wp-official,/en/hosting-security/xserver-for-wordpress-vs-xserver-business/,"XServer for WordPress vs XServer Business"
color-me-shop-vs-shopify-ja,ja,comparison,website-builders,70,1,1,color-me-shop-vs-shopify,/ja/website-builders/color-me-shop-vs-shopify/,"カラーミーショップとShopifyを比較｜料金・SEO・運用の違い"
color-me-shop-vs-xserver-shop-ja,ja,comparison,website-builders,70,1,1,color-me-shop-vs-xserver-shop,/ja/website-builders/color-me-shop-vs-xserver-shop/,"カラーミーショップとXServerショップを比較｜SaaSとEC-CUBE"
japanese-ecommerce-platform-seo-comparison-ja,ja,comparison,website-builders,70,1,1,color-me-shop-seo-comparison,/ja/website-builders/japanese-ecommerce-platform-seo-comparison/,"国産ネットショップ作成サービスSEO比較｜確認すべき10項目"
store-dx-stack-comparison-ja,ja,comparison,store-dx,70,1,1,luqevora-store-dx-diagnosis,/ja/store-dx/store-dx-stack-comparison/,"店舗DXツール構成比較｜POS・決済・予約・LINE・会計の組み合わせ方"
business-wordpress-hosting-comparison-ja,ja,comparison,hosting-security,70,1,3,xserver-wp-sla|kinsta|wp-engine,/ja/hosting-security/business-wordpress-hosting-comparison/,"法人向けWordPressホスティング3社比較｜XServer・Kinsta・WP Engine"
xserver-shop-vs-woocommerce-ja,ja,comparison,website-builders,63,3,3,xserver-shop-cost|xserver-shop-trial,/ja/website-builders/xserver-shop-vs-woocommerce/,"XServerショップとWooCommerceを比較｜EC-CUBE型とWordPress型"
pos-register-vs-cashless-payment-ja,ja,guide,cashless-payments,60,5,5,kantan-chumon-short|air-regi-official|airpay-official|square-pos-official|paycas-mobile-official,/ja/cashless-payments/pos-register-vs-cashless-payment/,"POSレジとキャッシュレス決済の違い｜店舗に必要なのはどちら？"
jimdo-small-business-guide-ja,ja,guide,website-builders,60,3,3,jimdo-easy|jimdo-software,/ja/website-builders/jimdo-small-business-guide/,"Jimdoで小規模事業のホームページを作る手順｜公開後まで解説"
jimdo-salon-website-guide-ja,ja,guide,website-builders,60,3,3,jimdo-easy|jimdo-short,/ja/website-builders/jimdo-salon-website-guide/,"Jimdoで美容サロンのホームページを作る方法｜構成と注意点"
jimdo-seo-guide-ja,ja,guide,website-builders,60,3,3,jimdo-software|jimdo-short,/ja/website-builders/jimdo-seo-guide/,"JimdoのSEO設定ガイド｜タイトル・URL・サイトマップを改善"
jimdo-pricing-ja,ja,guide,website-builders,60,3,3,jimdo-short|jimdo-software,/ja/website-builders/jimdo-pricing/,"Jimdo料金プラン比較｜2026年改定後の総額と選び方"
iclusta-movable-type-hosting-ja,ja,guide,hosting-security,60,2,2,iclusta-movabletype,/ja/hosting-security/iclusta-movable-type-hosting/,"iCLUSTA+のMovable Type対応｜料金・ライセンス・注意点"
ochanoko-saisai-seo-guide-ja,ja,guide,website-builders,60,2,2,ochanoko-saisai-long,/ja/website-builders/ochanoko-saisai-seo-guide/,"おちゃのこさいさいSEO設定ガイド｜店舗検索で確認する項目"
ochanoko-saisai-salon-guide-ja,ja,guide,website-builders,60,2,2,ochanoko-saisai-salon,/ja/website-builders/ochanoko-saisai-salon-guide/,"おちゃのこさいさいで美容室・エステのサイトを作る方法"
ochanoko-saisai-restaurant-guide-ja,ja,guide,website-builders,60,2,2,ochanoko-saisai-coupon,/ja/website-builders/ochanoko-saisai-restaurant-guide/,"おちゃのこさいさいで飲食店ホームページを作る方法"
ochanoko-saisai-pricing-ja,ja,guide,website-builders,60,2,2,ochanoko-saisai-service,/ja/website-builders/ochanoko-saisai-pricing/,"おちゃのこさいさい料金比較｜月額・独自ドメイン費用と総額"
shin-rental-server-wordpress-ja,ja,guide,hosting-security,60,2,2,shin-server-evolve,/ja/hosting-security/shin-rental-server-wordpress/,"シンレンタルサーバーでWordPressを始める方法と移行手順"
shin-rental-server-pricing-ja,ja,guide,hosting-security,60,2,2,shin-server-short,/ja/hosting-security/shin-rental-server-pricing/,"シンレンタルサーバー料金・プラン比較｜通常版とビジネス版"
store-website-coupon-calendar-guide-ja,ja,guide,website-builders,60,2,2,ochanoko-saisai-coupon,/ja/website-builders/store-website-coupon-calendar-guide/,"店舗ホームページのクーポン・カレンダー活用ガイド"
xserver-rental-server-pros-cons-en,en,review,hosting-security,60,1,1,xserver-official,/en/hosting-security/xserver-rental-server-pros-cons/,"XServer Pros and Cons: What to Check Before Contracting"
xserver-rental-server-pros-cons-ja,ja,review,hosting-security,60,1,1,xserver-main,/ja/hosting-security/xserver-rental-server-pros-cons/,"エックスサーバーのメリット・デメリット｜契約前の確認事項"
cpi-vs-xserver-business-ja,ja,comparison,hosting-security,55,2,2,cpi|xserver-business-main,/ja/hosting-security/cpi-vs-xserver-business/,"CPIとXServerビジネスを比較｜法人向けサーバーの違い"
gmail-vs-google-workspace-business-email-en,en,comparison,business-software,55,2,2,google-workspace-us|google-workspace-us-promo-request,/en/business-software/gmail-vs-google-workspace-business-email/,"Free Gmail vs Google Workspace for Business Email"
google-workspace-vs-microsoft-365-small-business-en,en,comparison,business-software,55,2,2,google-workspace-us|google-workspace-us-promo-request,/en/business-software/google-workspace-vs-microsoft-365-small-business/,"Google Workspace vs Microsoft 365 for Small Businesses"
google-workspace-vs-microsoft-365-small-business-ja,ja,comparison,business-software,55,2,2,google-workspace|luqvia-store-dx-line,/ja/business-software/google-workspace-vs-microsoft-365-small-business/,"Google WorkspaceとMicrosoft 365を比較｜小規模企業の選び方"
slack-vs-google-chat-en,en,comparison,business-software,55,2,3,google-workspace-us|google-workspace-us-promo-request|slack,/en/business-software/slack-vs-google-chat/,"Slack vs Google Chat: Pricing, History, Files, and Integrations"
gmail-vs-google-workspace-business-email-ja,ja,comparison,business-software,55,2,2,google-workspace|luqvia-store-dx-line,/ja/business-software/gmail-vs-google-workspace-business-email/,"無料GmailとGoogle Workspaceの違い｜会社メールはどちら？"
